foreign_key_name	parent_schema_name	parent_table_name	parent_columns	referenced_schema_name	referenced_table_name	referenced_columns	update_referential_action_desc	delete_referential_action_desc	is_disabled	is_not_trusted
ALLS_SXAHMClientScheduleReassignmentQueue_Client_FK	dbo	ALLS_SXAHMClientScheduleReassignmentQueue	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	0	0
ALLS_SXAHMClientScheduleReassignmentQueue_ClientSchedule_FK	dbo	ALLS_SXAHMClientScheduleReassignmentQueue	ClientScheduleID	dbo	SXAHMClientSchedule	ClientScheduleID	NO_ACTION	CASCADE	0	0
ALLS_SXAHMClientScheduleReassignmentQueue_NewClientSchedule_FK	dbo	ALLS_SXAHMClientScheduleReassignmentQueue	NewClientScheduleID	dbo	SXAHMClientSchedule	ClientScheduleID	NO_ACTION	NO_ACTION	0	0
ALLS_SXAHMClientScheduleReassignmentQueue_NewSchedule_FK	dbo	ALLS_SXAHMClientScheduleReassignmentQueue	ToScheduleID	dbo	SXAHMSchedule	ScheduleID	NO_ACTION	CASCADE	0	0
ALLS_SXAHMOccurrenceSaveAsDoneQueue_Client_FK	dbo	ALLS_SXAHMOccurrenceSaveAsDoneQueue	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	0	0
ALLS_SXAHMOccurrenceSaveAsDoneQueue_Event_FK	dbo	ALLS_SXAHMOccurrenceSaveAsDoneQueue	ToEventId	dbo	SXAHMEvent	EventID	NO_ACTION	CASCADE	0	0
ALLS_SXAHMOccurrenceSaveAsDoneQueue_NewOcc_FK	dbo	ALLS_SXAHMOccurrenceSaveAsDoneQueue	NewScheduledEventOccurrenceId	dbo	SXAHMScheduledEventOccurrence	ScheduledEventOccurrenceID	NO_ACTION	NO_ACTION	0	0
ALLS_SXAHMOccurrenceSaveAsDoneQueue_Occ_FK	dbo	ALLS_SXAHMOccurrenceSaveAsDoneQueue	ScheduledEventOccurrenceId	dbo	SXAHMScheduledEventOccurrence	ScheduledEventOccurrenceID	NO_ACTION	CASCADE	0	0
Disabled_CV3ActiveCareProvVisitRoleCV3CareProviderFK	dbo	CV3ActiveCareProvVisitRole	ProviderGUID	dbo	CV3CareProvider	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveCareProvVisitRoleCV3ClientFK	dbo	CV3ActiveCareProvVisitRole	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveChartCV3ClientFK	dbo	CV3ActiveChart	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitCV3ClientFK	dbo	CV3ActiveVisit	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitCV3ClientVisitFK	dbo	CV3ActiveVisit	VisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3ChartFK	dbo	CV3ActiveVisitList	ChartGUID	dbo	CV3Chart	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3ClientFK	dbo	CV3ActiveVisitList	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3ClientVisitFK	dbo	CV3ActiveVisitList	GUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3GenderFK	dbo	CV3ActiveVisitList	GenderCode	dbo	CV3Gender	Code	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3LocationFK	dbo	CV3ActiveVisitList	CurrentLocationGUID	dbo	CV3Location	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3ActiveVisitListCV3ServiceFK	dbo	CV3ActiveVisitList	ServiceGUID	dbo	CV3Service	GUID	NO_ACTION	NO_ACTION	1	1
CV3AddressSXAAMCountryFK	dbo	CV3Address	PhoneCountryID	dbo	SXAAMCountry	CountryID	NO_ACTION	NO_ACTION	0	0
Disabled_CV3AddressCV3ClientFK	dbo	CV3Address	ParentGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AddressCV3ClientVisitFK	dbo	CV3Address	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AddressCV3CountryDivisionFK	dbo	CV3Address	CountryDvsnCode	dbo	CV3CountryDivision	Code	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AdvancedVisitListDataCV3ClientVisitFK	dbo	CV3AdvancedVisitListData	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertDeclarationCV3ChartFK	dbo	CV3AlertDeclaration	ChartGUID	dbo	CV3Chart	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertDeclarationCV3ClientFK	dbo	CV3AlertDeclaration	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertDeclarationCV3ClientVisitFK	dbo	CV3AlertDeclaration	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertDeclarationCV3UserFK	dbo	CV3AlertDeclaration	UserGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertMessageCV3AlertDeclarationFK	dbo	CV3AlertMessage	ParentGUID	dbo	CV3AlertDeclaration	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertMessageCV3ClientFK	dbo	CV3AlertMessage	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertMessageRepositoryCV3AlertRepositoryFK	dbo	CV3AlertMessageRepository	ParentGUID	dbo	CV3AlertRepository	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AlertTypeRightsCV3RightsFK	dbo	CV3AlertTypeRights	RightGUID	dbo	CV3Rights	GUID	NO_ACTION	NO_ACTION	1	1
CV3AllergyDeclarationCV3AllergyCriticalityFK	dbo	CV3AllergyDeclaration	AllergyCriticalityID	dbo	CV3AllergyCriticality	AllergyCriticalityID	NO_ACTION	NO_ACTION	0	0
Disabled_CV3AllergyDeclarationCV3AllergenFK	dbo	CV3AllergyDeclaration	AllergenGUID	dbo	CV3Allergen	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AllergyDeclarationCV3ChartFK	dbo	CV3AllergyDeclaration	ChartGUID	dbo	CV3Chart	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AllergyDeclarationCV3ClientFK	dbo	CV3AllergyDeclaration	ClientGUID	dbo	CV3Client	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AllergyDeclarationCV3ClientVisitFK	dbo	CV3AllergyDeclaration	ClientVisitGUID	dbo	CV3ClientVisit	GUID	NO_ACTION	NO_ACTION	1	1
Disabled_CV3AllergyDeclarationCV3UserFK	dbo	CV3AllergyDeclaration	UserGUID	dbo	CV3User	GUID	NO_ACTION	NO_ACTION	1	1
