schema_name	table_name	index_name	index_type	is_unique	is_primary_key	is_unique_constraint	has_filter	filter_definition	key_columns	included_columns
dbo	ACS_CPTCalculation	PK_ACS_CPTCalculation	CLUSTERED	1	1	0	0	NULL	RuleID	NULL
dbo	ACS_CPTCalculationVisitCharges	INDEX1_ACS_CPTCalculationVisitCharges	NONCLUSTERED	0	0	0	0	NULL	ClientVisitGUID	NULL
dbo	ACS_CPTCalculationVisitCharges	PK_ACS_CPTCalculationVisitCharges	CLUSTERED	1	1	0	0	NULL	GUID	NULL
dbo	ACS_EM_VisitCharge	ACS_EM_VisitCharge_PK	CLUSTERED	1	1	0	0	NULL	ClientVisitGUID	NULL
dbo	ACS_EMCalcRule	XPKACS_EMCalcRule	CLUSTERED	1	1	0	0	NULL	CalcRuleSeqNo	NULL
dbo	ACS_EMCategory	XPKACS_EMCategory	NONCLUSTERED	1	1	0	0	NULL	categoryID	NULL
dbo	ACS_EMCategoryPoints	XPKACS_EMCategoryPoints	CLUSTERED	1	1	0	0	NULL	categoryID	NULL
dbo	ACS_EmChargeRule	PK_ACS_EmChargeRule	CLUSTERED	1	1	0	0	NULL	chargeRuleID	NULL
dbo	ACS_EMComponent	XPKACS_EMComponent	NONCLUSTERED	1	1	0	0	NULL	componentID	NULL
dbo	ACS_EMComponentMapping	XPKACS_EMComponentMapping	NONCLUSTERED	1	1	0	0	NULL	mappingSeqNo	NULL
dbo	ACS_EMCPTOverrideCodes	PK__ACS_EMCP__44DA3F2E6A9616BD	CLUSTERED	1	1	0	0	NULL	CPTCode	NULL
dbo	ACS_EMFacilityVisitComponents	ACS_EMFacilityVisitComponents_index1	NONCLUSTERED	0	0	0	0	NULL	ClientVisitGUID	NULL
dbo	ACS_EMProfessionalBillingRecord	XPKACS_EMProfessionalBillingRecord	CLUSTERED	1	1	0	0	NULL	ClientVisitGUID, ClientDocumentGUID	NULL
dbo	ACS_EMProfessionalGroup	XPKACS_EMProfessionalGroup	NONCLUSTERED	1	1	0	0	NULL	groupID	NULL
dbo	ACS_EMProfessionalGroupObs	XPKACS_EMProfessionalGroupObs	NONCLUSTERED	1	1	0	0	NULL	groupObsSeqNo	NULL
