schema_name	table_name	constraint_name	constraint_type	key_columns
dbo	ACS_CPTCalculation	PK_ACS_CPTCalculation	PRIMARY_KEY_CONSTRAINT	RuleID
dbo	ACS_CPTCalculationVisitCharges	PK_ACS_CPTCalculationVisitCharges	PRIMARY_KEY_CONSTRAINT	GUID
dbo	ACS_EM_VisitCharge	ACS_EM_VisitCharge_PK	PRIMARY_KEY_CONSTRAINT	ClientVisitGUID
dbo	ACS_EMCalcRule	XPKACS_EMCalcRule	PRIMARY_KEY_CONSTRAINT	CalcRuleSeqNo
dbo	ACS_EMCategory	XPKACS_EMCategory	PRIMARY_KEY_CONSTRAINT	categoryID
dbo	ACS_EMCategoryPoints	XPKACS_EMCategoryPoints	PRIMARY_KEY_CONSTRAINT	categoryID
dbo	ACS_EmChargeRule	PK_ACS_EmChargeRule	PRIMARY_KEY_CONSTRAINT	chargeRuleID
dbo	ACS_EMComponent	XPKACS_EMComponent	PRIMARY_KEY_CONSTRAINT	componentID
dbo	ACS_EMComponentMapping	XPKACS_EMComponentMapping	PRIMARY_KEY_CONSTRAINT	mappingSeqNo
dbo	ACS_EMCPTOverrideCodes	PK__ACS_EMCP__44DA3F2E6A9616BD	PRIMARY_KEY_CONSTRAINT	CPTCode
dbo	ACS_EMProfessionalBillingRecord	XPKACS_EMProfessionalBillingRecord	PRIMARY_KEY_CONSTRAINT	ClientVisitGUID, ClientDocumentGUID
dbo	ACS_EMProfessionalGroup	XPKACS_EMProfessionalGroup	PRIMARY_KEY_CONSTRAINT	groupID
dbo	ACS_EMProfessionalGroupObs	XPKACS_EMProfessionalGroupObs	PRIMARY_KEY_CONSTRAINT	groupObsSeqNo
dbo	ACS_EMProfessionalPhysicalExamBullets	PK__ACS_EMPr__3214EC2776F13BD1	PRIMARY_KEY_CONSTRAINT	ID
dbo	ACS_EMProNoteConfig	XPKACS_EMProNoteConfig	PRIMARY_KEY_CONSTRAINT	ID
dbo	ACS_Log	PK_ACS_ErrorLog	PRIMARY_KEY_CONSTRAINT	ID
dbo	ACS_Settings	PK_ACS_Settings	PRIMARY_KEY_CONSTRAINT	ID
