referencing_schema_name	referencing_object_name	referencing_object_type	referenced_schema_name	referenced_entity_name	referenced_object_type
cdc	CV3ClientDocProviderXrefARCIoIT	SQL_TRIGGER	NULL	CV3ClientDocProviderXrefARC_CDC_CT	USER_TABLE
cdc	CV3ClientDocProviderXrefARCIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ClientDocProviderXrefCURIoIT	SQL_TRIGGER	NULL	CV3ClientDocProviderXrefCUR_CDC_CT	USER_TABLE
cdc	CV3ClientDocProviderXrefCURIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ClientDocumentARCIoIT	SQL_TRIGGER	NULL	CV3ClientDocumentARC_CDC_CT	USER_TABLE
cdc	CV3ClientDocumentARCIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ClientDocumentCURIoIT	SQL_TRIGGER	NULL	CV3ClientDocumentCUR_CDC_CT	USER_TABLE
cdc	CV3ClientDocumentCURIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ObservationDocumentARCIoIT	SQL_TRIGGER	NULL	CV3ObservationDocumentARC_CDC_CT	USER_TABLE
cdc	CV3ObservationDocumentARCIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ObservationDocumentCURIoIT	SQL_TRIGGER	NULL	CV3ObservationDocumentCUR_CDC_CT	USER_TABLE
cdc	CV3ObservationDocumentCURIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	CV3ObservationXInfoARCIoIT	SQL_TRIGGER	NULL	CV3ObservationDocumentARC	USER_TABLE
cdc	CV3ObservationXInfoARCIoIT	SQL_TRIGGER	NULL	CV3ObservationXInfoARC_CDC_CT	USER_TABLE
cdc	CV3ObservationXInfoARCIoIT	SQL_TRIGGER	NULL	inserted	NULL
cdc	fn_cdc_get_all_changes_coln_applic_intf_xref_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	coln_applic_intf_xref_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3Address_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3Address_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AlertDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AlertDeclaration_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AlertMessageRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AlertMessageRepository_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AlertRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AlertRepository_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3Allergen_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3Allergen_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AllergyDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AllergyDeclaration_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AllergyReviewHistory_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AllergyReviewHistory_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AlternateOrder_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AlternateOrder_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3AncillaryName_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3AncillaryName_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3BasicObservation_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3BasicObservation_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3CareProvider_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3CareProvider_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3CareProviderID_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3CareProviderID_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3CareProviderRoleType_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3CareProviderRoleType_CDC_CT	USER_TABLE
cdc	fn_cdc_get_all_changes_CV3CareProviderVisitRole_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	cdc	CV3CareProviderVisitRole_CDC_CT	USER_TABLE
