schema_name	routine_name	routine_type	parameter_id	parameter_name	data_type	character_or_binary_length	precision	scale	is_output	has_default_value	default_value
cdc	fn_cdc_get_all_changes_coln_applic_intf_xref_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_coln_applic_intf_xref_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_coln_applic_intf_xref_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Address_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Address_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Address_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertMessageRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertMessageRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertMessageRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AlertRepository_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Allergen_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Allergen_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3Allergen_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AllergyDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	1	@from_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AllergyDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	2	@to_lsn	binary	10	0	0	0	0	NULL
cdc	fn_cdc_get_all_changes_CV3AllergyDeclaration_CDC	SQL_INLINE_TABLE_VALUED_FUNCTION	3	@row_filter_option	nvarchar	30	0	0	0	0	NULL
