schema_name	owner_name
ASCLOUD\A711233	ASCLOUD\A711233
aspnet_ChangeNotification_ReceiveNotificationsOnlyAccess	aspnet_ChangeNotification_ReceiveNotificationsOnlyAccess
bd50e95f_CC	bd50e95f_CC
bd51e8ab_CC	bd51e8ab_CC
bd51e8ab_EDI	bd51e8ab_EDI
bd5b0e62_CC	bd5b0e62_CC
bd5b0e62_EDI	bd5b0e62_EDI
c27b8079_CC	c27b8079_CC
c27b8079_EDI	c27b8079_EDI
c656f0e5_CC	c656f0e5_CC
c656f0e5_EDI	c656f0e5_EDI
c880a6d7_CC	c880a6d7_CC
c880a6d7_EDI	c880a6d7_EDI
cdc	cdc
cde91d87_CC	cde91d87_CC
cde91d87_EDI	cde91d87_EDI
dbo	dbo
HVCUser	HVCUser
persistenceUsers	persistenceUsers
prime\asprod22	dbo
PRIME\lmenari1	dbo
PRIME\suppor3	dbo
state_persistence_users	state_persistence_users
System.Activities.DurableInstancing	HVCUser
TCR\PrdScmServices	TCR\PrdScmServices
tracking_profilereaderwriter	tracking_profilereaderwriter
tracking_reader	tracking_reader
tracking_writer	tracking_writer
